Season,Tank,Deployment,Retrieval,Initial,Final,Diameter,Initials,Notes
Summer,U11,09.08.24 13:05,21.08.24 13:40,57.072,58.645,55.240,AR,
Summer,U11,09.08.24 13:05,21.08.24 13:40,65.984,66.885,57.580,AR,
Summer,U11,09.08.24 13:05,21.08.24 13:40,59.486,59.325,54.180,AR,
Summer,U11,09.08.24 13:05,21.08.24 13:40,51.529,52.806,48.180,AR,
Summer,U12,09.08.24 13:10,21.08.24 13:52,48.658,49.004,47.900,AR,
Summer,U12,09.08.24 13:10,21.08.24 13:52,47.766,48.640,48.300,AR,
Summer,U12,09.08.24 13:10,21.08.24 13:52,60.277,61.021,51.240,AR,
Summer,U12,09.08.24 13:10,21.08.24 13:52,57.222,56.786,49.550,AR,
Summer,U12,09.08.24 13:10,21.08.24 13:52,51.917,52.188,50.590,AR,
Summer,U13,09.08.24 13:19,21.08.24 14:01,39.234,38.643,45.180,AR,
Summer,U13,09.08.24 13:19,21.08.24 14:01,35.021,35.025,43.710,AR,
Summer,U13,09.08.24 13:19,21.08.24 14:01,43.454,43.399,47.420,AR,
Summer,U13,09.08.24 13:19,21.08.24 14:01,39.503,39.750,45.670,AR,
Summer,U13,09.08.24 13:19,21.08.24 14:01,37.260,37.539,45.020,AR,
Summer,U14,09.08.24 13:22,21.08.24 14:07,35.854,NA,44.150,AR,dead
Summer,U14,09.08.24 13:22,21.08.24 14:07,34.154,NA,44.270,AR,dead
Summer,U14,09.08.24 13:22,21.08.24 14:07,37.231,NA,45.890,AR,dead
Summer,U14,09.08.24 13:22,21.08.24 14:07,38.557,NA,43.780,AR,dead
Summer,U14,09.08.24 13:22,21.08.24 14:07,32.935,NA,44.760,AR,dead
Summer,U15,09.08.24 13:27,21.08.24 14:15,37.357,37.835,45.130,AR,
Summer,U15,09.08.24 13:27,21.08.24 14:15,44.802,43.604,46.060,AR,
Summer,U15,09.08.24 13:27,21.08.24 14:15,33.282,32.067,42.680,AR,
Summer,U15,09.08.24 13:27,21.08.24 14:15,45.158,44.783,49.050,AR,
Summer,U15,09.08.24 13:27,21.08.24 14:15,43.383,43.065,47.960,AR,
