Reference,DOI,Location,Season,Urchin,Plant,Unit,Consumption_mean,Consumption_sd,Consumption_n,Defecation_mean,Defecation_sd,Defecation_n,Absorption_mean,Absorption_sd,Absorption_n,Percentage_mean,Percentage_sd,Percentage_n,Source,Notes
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.23229836,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.10887822,NA,1,Figure 3,organic dry mass only but not Conover ratio
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Mesocentrotus franciscanus,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,1.78,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Mesocentrotus franciscanus,Costaria costata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,1.06,3,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Mesocentrotus franciscanus,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,14.78,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Mesocentrotus franciscanus,Callophyllis flabellulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,19.13,3,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Mesocentrotus franciscanus,Agarum clathratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,19.92,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Mesocentrotus franciscanus,Neoagarum fimbriatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,11.94,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Mesocentrotus franciscanus,Ulvaria blyttii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4,10.63,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus droebachiensis,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,5.62,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus droebachiensis,Costaria costata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,3.32,3,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,11.86,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus droebachiensis,Callophyllis flabellulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,6.38,3,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus droebachiensis,Ulvaria blyttii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,8.57,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus droebachiensis,Neoagarum fimbriatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,16.28,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus droebachiensis,Agarum clathratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,16.18,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus purpuratus,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,5.26,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus purpuratus,Costaria costata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,9.87,3,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus purpuratus,Callophyllis flabellulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,16.59,3,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus purpuratus,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,9.87,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus purpuratus,Agarum clathratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.7,20.7,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus purpuratus,Neoagarum fimbriatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6,13.81,6,Table 4,
Vadas 1977,10.2307/1942173,"San Juan Island, Washington, USA",Annual,Strongylocentrotus purpuratus,Ulvaria blyttii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,16.02,6,Table 4,
Sauchyn & Scheibling 2009,10.3354/meps08296,"Splitnose Point, Nova Scotia, Canada",Autumn,Strongylocentrotus droebachiensis,Codium fragile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,13.16358614,12,Table 1,s.d. calculated as s.e.m. * √n
Sauchyn & Scheibling 2009,10.3354/meps08296,"Splitnose Point, Nova Scotia, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2,10.39230485,12,Table 1,s.d. calculated as s.e.m. * √n
