Reference,DOI,Location,Season,Urchin,Plant,Unit,Consumption_mean,Consumption_sd,Consumption_n,Defecation_mean,Defecation_sd,Defecation_n,Absorption_mean,Absorption_sd,Absorption_n,Percentage_mean,Percentage_sd,Percentage_n,Source,Notes
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Ascophyllum nodosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Ascophyllum nodosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Desmarestia viridis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Desmarestia viridis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Desmarestia viridis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Agarum clathratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Agarum clathratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Ptilota serrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
Agatsuma 1999,10.11233/aquaculturesci1953.47.325,"Oshoro Bay, Hokkaido, Japan",Spring,Mesocentrotus nudus,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.18,6,NA,Table 3,
Agatsuma 1999,10.11233/aquaculturesci1953.47.325,"Oshoro Bay, Hokkaido, Japan",Spring,Mesocentrotus nudus,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.84,6,NA,Table 3,
Agatsuma 1999,10.11233/aquaculturesci1953.47.325,"Oshoro Bay, Hokkaido, Japan",Spring,Mesocentrotus nudus,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.15,3.6,NA,Table 3,
Agatsuma 1999,10.11233/aquaculturesci1953.47.325,"Oshoro Bay, Hokkaido, Japan",Summer,Mesocentrotus nudus,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.29,8,NA,Table 3,
Agatsuma 1999,10.11233/aquaculturesci1953.47.325,"Oshoro Bay, Hokkaido, Japan",Summer,Mesocentrotus nudus,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.46,3.5,NA,Table 3,
Agatsuma 1999,10.11233/aquaculturesci1953.47.325,"Oshoro Bay, Hokkaido, Japan",Summer,Mesocentrotus nudus,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.04,6.2,NA,Table 3,
Moore & McPherson 1965,NA,"Virginia Key and Bear Cut, Miami, Florida, USA",Winter,Lytechinus variegatus,Thalassia testudinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,1,Text,
Moore & McPherson 1965,NA,"Virginia Key and Bear Cut, Miami, Florida, USA",Summer,Lytechinus variegatus,Thalassia testudinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,1,Text,
Moore & McPherson 1965,NA,"Virginia Key and Bear Cut, Miami, Florida, USA",Winter,Tripneustes ventricosus,Thalassia testudinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,1,Text,
Moore & McPherson 1965,NA,"Virginia Key and Bear Cut, Miami, Florida, USA",Summer,Tripneustes ventricosus,Thalassia testudinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,1,Text,
